timestamp,human_time,volume_sum,max_price,open_price
1742266404.2054062,2025-03-18 03:53:24,6.133820000000065,83467.4,83412.93
1742266464.2596865,2025-03-18 03:54:24,7.817130000000026,83470.36,83434.78
1742266524.3453946,2025-03-18 03:55:24,2.8082400000000205,83470.36,83470.35
1742266584.3972554,2025-03-18 03:56:24,13.609959999999496,83477.15,83467.39
1742266644.4451296,2025-03-18 03:57:24,17.322659999999846,83420.66,83420.65
1742266704.5031602,2025-03-18 03:58:24,2.210100000000006,83379.8,83360.0
1742266764.5409403,2025-03-18 03:59:24,3.9858499999999992,83371.11,83361.01
1742266824.5963602,2025-03-18 04:00:24,2.7306699999999995,83367.65,83367.64
1742266884.679765,2025-03-18 04:01:24,6.943489999999998,83359.69,83359.68
1742266944.7960825,2025-03-18 04:02:24,5.41370000000002,83302.74,83293.04
1742267005.8815084,2025-03-18 04:03:25,14.1619399999994,83268.01,83261.89
1742267065.938312,2025-03-18 04:04:25,6.379230000000034,83271.74,83166.53
1742267127.0092597,2025-03-18 04:05:27,4.811970000000008,83271.74,83271.74
1742267187.1037178,2025-03-18 04:06:27,7.639500000000031,83257.16,83220.47
1742267247.1857226,2025-03-18 04:07:27,4.70075000000006,83193.65,83178.01
1742267308.236688,2025-03-18 04:08:28,5.585060000000013,83206.53,83191.31
1742267368.2826858,2025-03-18 04:09:28,5.204010000000044,83199.2,83157.03
1742267428.3392997,2025-03-18 04:10:28,6.690930000000021,83229.29,83177.31
1742267488.4025702,2025-03-18 04:11:28,3.4211500000000368,83250.01,83194.6
1742267548.46041,2025-03-18 04:12:28,7.595730000000102,83272.1,83250.0
1742267608.5097785,2025-03-18 04:13:28,8.962269999999302,83260.84,83250.01
1742267669.562045,2025-03-18 04:14:29,2.658660000000013,83231.16,83202.36
1742267729.6781032,2025-03-18 04:15:29,10.35045999999998,83231.16,83231.16
1742267789.8126943,2025-03-18 04:16:29,9.963549999999705,83264.27,83185.81
1742267849.8892946,2025-03-18 04:17:29,8.892069999999888,83231.58,83231.57
1742267909.9387686,2025-03-18 04:18:29,13.153969999999903,83185.31,83185.3
1742267970.0347636,2025-03-18 04:19:30,4.797460000000019,83209.75,83152.18
1742268030.104858,2025-03-18 04:20:30,7.067000000000025,83260.64,83209.75
1742268090.1691804,2025-03-18 04:21:30,6.21347000000001,83288.0,83253.68
1742268150.228021,2025-03-18 04:22:30,2.873290000000005,83296.49,83279.12
1742268210.284117,2025-03-18 04:23:30,2.5189000000000026,83296.49,83296.48
1742268270.352095,2025-03-18 04:24:30,2.874740000000004,83287.36,83274.27
1742268330.4084468,2025-03-18 04:25:30,2.9775500000000035,83282.5,83279.5
1742268390.473182,2025-03-18 04:26:30,12.030839999999817,83282.5,83282.5
